title,description,genre2,overall
Malibu Rescue: The Next Wave,it summer everyon favorit junior rescuer flounder back tower  intern junior rescu championship head southern california eye entir planet malibu beach team usa fall victim bout food poison it tyler dylan eric lizzi gina repres countri world extrem lifeguard challeng,comedy family action,it summer everyon favorit junior rescuer flounder back tower  intern junior rescu championship head southern california eye entir planet malibu beach team usa fall victim bout food poison it tyler dylan eric lizzi gina repres countri world extrem lifeguard challeng comedy family action
Kaali Khuhi,restless spirit curs punjab villag histori femal infanticid town fate lie hand  old girl shivangi,thriller horror drama,restless spirit curs punjab villag histori femal infanticid town fate lie hand  old girl shivangi thriller horror drama
George Lopez: We'll Do It for Half,comedian georg lopez tackl futur past latinx cultur america touch immigr tough relat age much,comedy,comedian georg lopez tackl futur past latinx cultur america touch immigr tough relat age much comedy
Dark Forces,search sister renegad crimin seek answer sordid hotel encount sinist guest romanc mysteri waitress,horror thriller action,search sister renegad crimin seek answer sordid hotel encount sinist guest romanc mysteri waitress horror thriller action
Bhangra Paa Le,jaggi come punjabi background aspir take popular punjabi danc form bhangra intern platform passion work toward dream meet colleg rival simi compet win intern danc competit,music comedy drama,jaggi come punjabi background aspir take popular punjabi danc form bhangra intern platform passion work toward dream meet colleg rival simi compet win intern danc competit music comedy drama
Milestone,soon veteran driver ghalib truck touch  kilomet mark  record compani  struck sudden pain back ghalib struggl ach existenti threat begin overwhelm ask train young new driver,drama,soon veteran driver ghalib truck touch  kilomet mark  record compani  struck sudden pain back ghalib struggl ach existenti threat begin overwhelm ask train young new driver drama
Krishna and His Leela,torn past present girlfriend confus bachelor indecis spin web lie cheat struggl commit,comedy romance,torn past present girlfriend confus bachelor indecis spin web lie cheat struggl commit comedy romance
A Go! Go! Cory Carson Halloween,cori chrissi freddi hunt kingsiz candi bar halloween treat worth trek spooki side town,animation family horror,cori chrissi freddi hunt kingsiz candi bar halloween treat worth trek spooki side town animation family horror
A Go! Go! Cory Carson Christmas,familiarlook stranger crash without memori cori help rememb magic christma save holiday everyon,animation family,familiarlook stranger crash without memori cori help rememb magic christma save holiday everyon animation family
Namaste Wahala,nigerian woman indian man wont let cultur differ get way romanc,comedy drama romance,nigerian woman indian man wont let cultur differ get way romanc comedy drama romance
Guillermo Vilas: Settling the Score,forti year argentinean sportsman guillermo vila tenni legend tireless demand offici rank  revis order final recogn best player world eduardo puppo sport journalist make vila demand fought ten year power sport corpor prove vila inde unfair displac top world tenni,documentation sport,forti year argentinean sportsman guillermo vila tenni legend tireless demand offici rank  revis order final recogn best player world eduardo puppo sport journalist make vila demand fought ten year power sport corpor prove vila inde unfair displac top world tenni documentation sport
The Beginning of Life 2: Outside,genuin connect children natur revolution futur discoveri still possibl world major urban center new chapter begin life reveal transform power concept,documentation,genuin connect children natur revolution futur discoveri still possibl world major urban center new chapter begin life reveal transform power concept documentation
Soulmate,romant film present love stori sweet bitter love found amidst clash troubl,drama,romant film present love stori sweet bitter love found amidst clash troubl drama
Citation,bright student nigeria take academ establish report popular professor tri rape base real event,thriller drama,bright student nigeria take academ establish report popular professor tri rape base real event thriller drama
Dogwashers,narco past prime refus pay debt upstart secret stash money save men guess garden found,crime drama comedy,narco past prime refus pay debt upstart secret stash money save men guess garden found crime drama comedy
Small Chops,busi mogul hire exot dancer weekend entertain quick morph messi situat full misunderstand,drama,busi mogul hire exot dancer weekend entertain quick morph messi situat full misunderstand drama
Sol Levante,young warrior familiar search sacr place said fulfil wish best anger ancient guardian spirit,fantasy scifi,young warrior familiar search sacr place said fulfil wish best anger ancient guardian spirit fantasy scifi
La Vocera,healer chosen heal ail countri spokeswoman la vocera one carri voic maria de jesú patricio first indigen woman aspir presid mexico journey also tell stori behind indigen govern council fight preserv natur new way understand progress world today,documentation,healer chosen heal ail countri spokeswoman la vocera one carri voic maria de jesú patricio first indigen woman aspir presid mexico journey also tell stori behind indigen govern council fight preserv natur new way understand progress world today documentation
Fan Girl,starstruck girl sneak actor hous discov horrifi truth idol,drama,starstruck girl sneak actor hous discov horrifi truth idol drama
Who's the Boss,narrat stori young ambiti employe tri work way top keep devalu decid take bold step end posit deserv without love long time,comedy romance,narrat stori young ambiti employe tri work way top keep devalu decid take bold step end posit deserv without love long time comedy romance
